"record_id","title","doi","source","duplicate","title_abstract_decision","full_text_decision","exclusion_reason","reviewer","decision_date"
"R001","Crime forecasting: a machine learning and computer vision approach to crime prediction and prevention","10.1186/s42492-021-00075-z","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R002","Machine learning in crime prediction","10.1007/s12652-023-04530-y","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R003","Crime Prediction Using Machine Learning and Deep Learning: A Systematic Review and Future Directions","10.1109/access.2023.3286344","OpenAlex","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R004","Edge Computing with Artificial Intelligence: A Machine Learning Perspective","10.1145/3555802","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R005","Street view imagery in urban analytics and GIS: A review","10.1016/j.landurbplan.2021.104217","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R006","Machine learning for spatial analyses in urban areas: a scoping review","10.1016/j.scs.2022.104050","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R007","A Survey of Deep Learning-Based Object Detection","10.1109/access.2019.2939201","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R008","An Empirical Analysis of Machine Learning Algorithms for Crime Prediction Using Stacked Generalization: An Ensemble Approach","10.1109/access.2021.3075140","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R009","Comparison of Machine Learning Algorithms for Predicting Crime Hotspots","10.1109/access.2020.3028420","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R010","A deep-learning model for urban traffic flow prediction with traffic events mined from twitter","10.1007/s11280-020-00800-3","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R011","A Clustering Based Hotspot Identification Approach For Crime Prediction","10.1016/j.procs.2020.03.357","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R012","Spatiotemporal Data Mining: A Computational Perspective","10.3390/ijgi4042306","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R013","Crime rate prediction in the urban environment using social factors","10.1016/j.procs.2018.08.261","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R014","Spatio-Temporal Crime HotSpot Detection and Prediction: A Systematic Literature Review","10.1109/access.2020.3022808","OpenAlex","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R015","Machine Learning Technologies for Secure Vehicular Communication in Internet of Vehicles: Recent Advances and Applications","10.1155/2021/8868355","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R016","Artificial intelligence &amp; crime prediction: A systematic literature review","10.1016/j.ssaho.2022.100342","OpenAlex","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R017","Risk Prediction of Theft Crimes in Urban Communities: An Integrated Model of LSTM and ST-GCN","10.1109/access.2020.3041924","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R018","A systematic review on spatial crime forecasting","10.1186/s40163-020-00116-7","OpenAlex","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R019","Spatial-Temporal Sequential Hypergraph Network for Crime Prediction with Dynamic Multiplex Relation Learning","10.24963/ijcai.2021/225","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R020","Multi-Type Urban Crime Prediction","10.1609/aaai.v36i4.20360","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R021","Spatiotemporal data mining: a survey on challenges and open problems","10.1007/s10462-021-09994-y","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R022","An integrated cyberGIS and machine learning framework for fine-scale prediction of Urban Heat Island using satellite remote sensing and urban sensor network data","10.1007/s44212-022-00002-4","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R023","Spatiotemporal event detection: a review","10.1080/17538947.2020.1738569","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R024","Crime event prediction with dynamic features","10.1140/epjds/s13688-018-0171-7","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R025","Statistical Deep Learning for Spatial and Spatiotemporal Data","10.1146/annurev-statistics-033021-112628","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R026","Spatial machine learning: new opportunities for regional science","10.1007/s00168-021-01101-x","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R027","Smart cities of the future","10.1140/epjst/e2012-01703-3","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R028","A systematic review of a digital twin city: A new pattern of urban governance toward smart cities","10.1016/j.jmse.2021.03.003","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R029","Fine-Grained Urban Flow Prediction","10.1145/3442381.3449792","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R030","Applications of deep learning in congestion detection, prediction and alleviation: A survey","10.1016/j.trc.2021.103432","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R031","Crime Prediction Model using Deep Neural Networks","10.1145/3325112.3328221","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R032","Food security prediction from heterogeneous data combining machine and deep learning methods","10.1016/j.eswa.2021.116189","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R033","Multimodal Deep Learning Crime Prediction Using Tweets","10.1109/access.2023.3308967","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R034","Do Mobile Phone Data Provide a Better Denominator in Crime Rates and Improve Spatiotemporal Predictions of Crime?","10.3390/ijgi10060369","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R035","Interpretable machine learning for real estate market analysis","10.1111/1540-6229.12397","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R036","A comprehensive survey on machine learning approaches for fake news detection","10.1007/s11042-023-17470-8","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R037","Nighttime light remote sensing for urban applications: Progress, challenges, and prospects","10.1016/j.isprsjprs.2023.05.028","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R038","Spatio-Temporal Crime Predictions by Leveraging Artificial Intelligence for Citizens Security in Smart Cities","10.1109/access.2021.3068306","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R039","Leveraging transfer learning with deep learning for crime prediction","10.1371/journal.pone.0296486","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R040","Crime Prediction Methods Based on Machine Learning: A Survey","10.32604/cmc.2023.034190","OpenAlex","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R041","Urban Remote Sensing with Spatial Big Data: A Review and Renewed Perspective of Urban Studies in Recent Decades","10.3390/rs15051307","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R042","Multi-Hazard Exposure Mapping Using Machine Learning for the State of Salzburg, Austria","10.3390/rs12172757","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R043","Deep learning solutions for smart city challenges in urban development","10.1038/s41598-024-55928-3","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R044","A data-driven agent-based simulation to predict crime patterns in an urban environment","10.1016/j.compenvurbsys.2021.101660","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R045","A Survey of Machine Learning Methods for Time Series Prediction","10.3390/app15115957","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R046","Crime Spatiotemporal Prediction With Fused Objective Function in Time Delay Neural Network","10.1109/access.2020.3002766","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R047","The geography of crime and crime control","10.1016/j.apgeog.2017.08.012","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R048","A review of spatially-explicit GeoAI applications in Urban Geography","10.1016/j.jag.2022.102936","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R049","A scoping review on the use of machine learning in research on social determinants of health: Trends and research prospects","10.1016/j.ssmph.2021.100836","OpenAlex","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R050","Enhancing short-term crime prediction with human mobility flows and deep learning architectures","10.1140/epjds/s13688-022-00366-2","OpenAlex","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R051","Predicting Urban Crime with Minimal Spatiotemporal Features Using Machine Learning","10.65161/recxzq186npyfh2ss","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R052","Crime risk prediction incorporating geographical spatiotemporal dependency into machine learning models","10.1016/j.ins.2023.119414","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R053","Spatiotemporal Crime Prediction and Forecasting Using Machine Learning and Deep Learning Models","10.1007/s42979-026-04792-1","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R054","Spatiotemporal change of PM2.5 concentration in Beijing-Tianjin-Hebei and its prediction based on machine learning","10.1016/j.uclim.2024.102167","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R055","Interpretable machine learning models for crime prediction","10.1016/j.compenvurbsys.2022.101789","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R056","Historical And Location Aware Crime Prediction Using Machine Learning","10.55248/gengpi.07.0326.0442","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R057","Prediction of crime rate in urban neighborhoods based on machine learning","10.1016/j.engappai.2021.104460","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R058","Artificial Intelligence Models for Crime Prediction in Urban Spaces","10.5121/mlaij.2021.8101","Crossref","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R059","Urban flow prediction from spatiotemporal data using machine learning: A survey","10.1016/j.inffus.2020.01.002","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R060","Transfer Learning: Video Prediction and Spatiotemporal Urban Traffic Forecasting","10.3390/a13020039","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R061","Crime Spatiotemporal Prediction Through Urban Region Representation by Using Building Footprints","10.3390/bdcc9120301","Crossref","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R062","Model for Spatiotemporal Crime Prediction with Improved Deep Learning","10.31577/cai_2023_3_568","Crossref","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R063","Prediction and control of spatiotemporal chaos by <i>learning</i> conjugate tubular neighborhoods","10.1063/5.0181022","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R064","Crime Prediction using machine learning and Deep Learning technique","10.56452/7-5-199","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R065","EMPIRICAL ANALYSIS FOR CRIME PREDICTION USING MACHINE LEARNING AND DEEP LEARNING TECHNIQUES","10.56726/irjmets82967","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R066","Spatiotemporal analysis and machine learning-based prediction of air quality in Indian urban cities","10.35208/ert.1587308","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R067","Explainable Machine Learning-Based Urban Waterlogging Prediction Framework","10.3390/urbansci10030156","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R068","Crime rate prediction using machine learning","10.56726/irjmets89965","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R069","Spatiotemporal Analysis and Prediction of Crime Hotspots Using Artificial Intelligence and Machine Learning","10.33425/3066-1226.1260","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R070","Forecasting Urban Mobility: A Supervised Machine Learning Approach to Taxi Demand Prediction","10.70729/se26208203939","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
