"source","source_rank","doi","title","year"
"OpenAlex","1","10.1186/s42492-021-00075-z","Crime forecasting: a machine learning and computer vision approach to crime prediction and prevention","2021"
"OpenAlex","2","10.1007/s12652-023-04530-y","Machine learning in crime prediction","2023"
"OpenAlex","3","10.1109/access.2023.3286344","Crime Prediction Using Machine Learning and Deep Learning: A Systematic Review and Future Directions","2023"
"OpenAlex","4","10.1145/3555802","Edge Computing with Artificial Intelligence: A Machine Learning Perspective","2022"
"OpenAlex","5","10.1016/j.landurbplan.2021.104217","Street view imagery in urban analytics and GIS: A review","2021"
"OpenAlex","6","10.1016/j.scs.2022.104050","Machine learning for spatial analyses in urban areas: a scoping review","2022"
"OpenAlex","7","10.1109/access.2019.2939201","A Survey of Deep Learning-Based Object Detection","2019"
"OpenAlex","8","10.1109/access.2021.3075140","An Empirical Analysis of Machine Learning Algorithms for Crime Prediction Using Stacked Generalization: An Ensemble Approach","2021"
"OpenAlex","9","10.1109/access.2020.3028420","Comparison of Machine Learning Algorithms for Predicting Crime Hotspots","2020"
"OpenAlex","10","10.1007/s11280-020-00800-3","A deep-learning model for urban traffic flow prediction with traffic events mined from twitter","2020"
"OpenAlex","11","10.1016/j.procs.2020.03.357","A Clustering Based Hotspot Identification Approach For Crime Prediction","2020"
"OpenAlex","12","10.3390/ijgi4042306","Spatiotemporal Data Mining: A Computational Perspective","2015"
"OpenAlex","13","10.1016/j.procs.2018.08.261","Crime rate prediction in the urban environment using social factors","2018"
"OpenAlex","14","10.1109/access.2020.3022808","Spatio-Temporal Crime HotSpot Detection and Prediction: A Systematic Literature Review","2020"
"OpenAlex","15","10.1155/2021/8868355","Machine Learning Technologies for Secure Vehicular Communication in Internet of Vehicles: Recent Advances and Applications","2021"
"OpenAlex","16","10.1016/j.ssaho.2022.100342","Artificial intelligence &amp; crime prediction: A systematic literature review","2022"
"OpenAlex","17","10.1109/access.2020.3041924","Risk Prediction of Theft Crimes in Urban Communities: An Integrated Model of LSTM and ST-GCN","2020"
"OpenAlex","18","10.1186/s40163-020-00116-7","A systematic review on spatial crime forecasting","2020"
"OpenAlex","19","10.24963/ijcai.2021/225","Spatial-Temporal Sequential Hypergraph Network for Crime Prediction with Dynamic Multiplex Relation Learning","2021"
"OpenAlex","20","10.1609/aaai.v36i4.20360","Multi-Type Urban Crime Prediction","2022"
"OpenAlex","21","10.1007/s10462-021-09994-y","Spatiotemporal data mining: a survey on challenges and open problems","2022"
"OpenAlex","22","10.1007/s44212-022-00002-4","An integrated cyberGIS and machine learning framework for fine-scale prediction of Urban Heat Island using satellite remote sensing and urban sensor network data","2022"
"OpenAlex","23","10.1080/17538947.2020.1738569","Spatiotemporal event detection: a review","2020"
"OpenAlex","24","10.1140/epjds/s13688-018-0171-7","Crime event prediction with dynamic features","2018"
"OpenAlex","25","10.1146/annurev-statistics-033021-112628","Statistical Deep Learning for Spatial and Spatiotemporal Data","2023"
"OpenAlex","26","10.1007/s00168-021-01101-x","Spatial machine learning: new opportunities for regional science","2021"
"OpenAlex","27","10.1140/epjst/e2012-01703-3","Smart cities of the future","2012"
"OpenAlex","28","10.1016/j.jmse.2021.03.003","A systematic review of a digital twin city: A new pattern of urban governance toward smart cities","2021"
"OpenAlex","29","10.1145/3442381.3449792","Fine-Grained Urban Flow Prediction","2021"
"OpenAlex","30","10.1016/j.trc.2021.103432","Applications of deep learning in congestion detection, prediction and alleviation: A survey","2021"
"OpenAlex","31","10.1145/3325112.3328221","Crime Prediction Model using Deep Neural Networks","2019"
"OpenAlex","32","10.1016/j.eswa.2021.116189","Food security prediction from heterogeneous data combining machine and deep learning methods","2021"
"OpenAlex","33","10.1109/access.2023.3308967","Multimodal Deep Learning Crime Prediction Using Tweets","2023"
"OpenAlex","34","10.3390/ijgi10060369","Do Mobile Phone Data Provide a Better Denominator in Crime Rates and Improve Spatiotemporal Predictions of Crime?","2021"
"OpenAlex","35","10.1111/1540-6229.12397","Interpretable machine learning for real estate market analysis","2022"
"OpenAlex","36","10.1007/s11042-023-17470-8","A comprehensive survey on machine learning approaches for fake news detection","2023"
"OpenAlex","37","10.1016/j.isprsjprs.2023.05.028","Nighttime light remote sensing for urban applications: Progress, challenges, and prospects","2023"
"OpenAlex","38","10.1109/access.2021.3068306","Spatio-Temporal Crime Predictions by Leveraging Artificial Intelligence for Citizens Security in Smart Cities","2021"
"OpenAlex","39","10.1371/journal.pone.0296486","Leveraging transfer learning with deep learning for crime prediction","2024"
"OpenAlex","40","10.32604/cmc.2023.034190","Crime Prediction Methods Based on Machine Learning: A Survey","2022"
"OpenAlex","41","10.3390/rs15051307","Urban Remote Sensing with Spatial Big Data: A Review and Renewed Perspective of Urban Studies in Recent Decades","2023"
"OpenAlex","42","10.3390/rs12172757","Multi-Hazard Exposure Mapping Using Machine Learning for the State of Salzburg, Austria","2020"
"OpenAlex","43","10.1038/s41598-024-55928-3","Deep learning solutions for smart city challenges in urban development","2024"
"OpenAlex","44","10.1016/j.compenvurbsys.2021.101660","A data-driven agent-based simulation to predict crime patterns in an urban environment","2021"
"OpenAlex","45","10.3390/app15115957","A Survey of Machine Learning Methods for Time Series Prediction","2025"
"OpenAlex","46","10.1109/access.2020.3002766","Crime Spatiotemporal Prediction With Fused Objective Function in Time Delay Neural Network","2020"
"OpenAlex","47","10.1016/j.apgeog.2017.08.012","The geography of crime and crime control","2017"
"OpenAlex","48","10.1016/j.jag.2022.102936","A review of spatially-explicit GeoAI applications in Urban Geography","2022"
"OpenAlex","49","10.1016/j.ssmph.2021.100836","A scoping review on the use of machine learning in research on social determinants of health: Trends and research prospects","2021"
"OpenAlex","50","10.1140/epjds/s13688-022-00366-2","Enhancing short-term crime prediction with human mobility flows and deep learning architectures","2022"
"Crossref","1","10.65161/recxzq186npyfh2ss","Predicting Urban Crime with Minimal Spatiotemporal Features Using Machine Learning","2026"
"Crossref","2","10.1016/j.ins.2023.119414","Crime risk prediction incorporating geographical spatiotemporal dependency into machine learning models","2023"
"Crossref","3","10.1007/s42979-026-04792-1","Spatiotemporal Crime Prediction and Forecasting Using Machine Learning and Deep Learning Models","2026"
"Crossref","4","10.1016/j.uclim.2024.102167","Spatiotemporal change of PM2.5 concentration in Beijing-Tianjin-Hebei and its prediction based on machine learning","2024"
"Crossref","5","10.1016/j.compenvurbsys.2022.101789","Interpretable machine learning models for crime prediction","2022"
"Crossref","6","10.55248/gengpi.07.0326.0442","Historical And Location Aware Crime Prediction Using Machine Learning","2026"
"Crossref","7","10.1016/j.engappai.2021.104460","Prediction of crime rate in urban neighborhoods based on machine learning","2021"
"Crossref","8","10.5121/mlaij.2021.8101","Artificial Intelligence Models for Crime Prediction in Urban Spaces","2021"
"Crossref","9","10.1016/j.inffus.2020.01.002","Urban flow prediction from spatiotemporal data using machine learning: A survey","2020"
"Crossref","10","10.3390/a13020039","Transfer Learning: Video Prediction and Spatiotemporal Urban Traffic Forecasting","2020"
"Crossref","11","10.3390/bdcc9120301","Crime Spatiotemporal Prediction Through Urban Region Representation by Using Building Footprints","2025"
"Crossref","12","10.31577/cai_2023_3_568","Model for Spatiotemporal Crime Prediction with Improved Deep Learning","2023"
"Crossref","13","10.1063/5.0181022","Prediction and control of spatiotemporal chaos by <i>learning</i> conjugate tubular neighborhoods","2024"
"Crossref","14","10.56452/7-5-199","Crime Prediction using machine learning and Deep Learning technique","2023"
"Crossref","15","10.56726/irjmets82967","EMPIRICAL ANALYSIS FOR CRIME PREDICTION USING MACHINE LEARNING AND DEEP LEARNING TECHNIQUES","2025"
"Crossref","16","10.35208/ert.1587308","Spatiotemporal analysis and machine learning-based prediction of air quality in Indian urban cities","2025"
"Crossref","17","10.3390/urbansci10030156","Explainable Machine Learning-Based Urban Waterlogging Prediction Framework","2026"
"Crossref","18","10.56726/irjmets89965","Crime rate prediction using machine learning","2026"
"Crossref","19","10.33425/3066-1226.1260","Spatiotemporal Analysis and Prediction of Crime Hotspots Using Artificial Intelligence and Machine Learning","2026"
"Crossref","20","10.70729/se26208203939","Forecasting Urban Mobility: A Supervised Machine Learning Approach to Taxi Demand Prediction","2026"
"Crossref","21","10.56726/irjmets42307","Crime analysis and prediction using machine Learning","2023"
"Crossref","22","10.3390/world7030049","Spatiotemporal Modeling and Prediction of Urban Thermal Field Variation and Land Use Dynamics in Riyadh Using Machine Learning and Remote Sensing","2026"
"Crossref","23","10.3390/atmos15111352","Systematic Review of Machine Learning and Deep Learning Techniques for Spatiotemporal Air Quality Prediction","2024"
