zone_id,sector,latitude,longitude,population_density_km2,socioeconomic_vulnerability,youth_share,commercial_density,transit_access_index,road_connectivity_index,lighting_coverage,cctv_density,patrol_coverage,distance_to_transit_corridor_km,year,month,month_index,weekend_night_activity,seasonal_pressure,recent_incidents,rolling_3m_incidents,incident_trend,target_high_risk_next_month
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2018,5,4,0.426,0.11,3,3.0,0,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2018,6,5,0.3631,0.0,5,3.333,1,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2018,7,6,0.5288,0.07,3,3.667,1,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2018,8,7,0.4609,-0.1905,3,3.667,0,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2018,9,8,0.4795,-0.22,0,2.0,-5,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2018,10,9,0.4866,-0.1905,2,1.667,-1,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2018,11,10,0.5041,-0.11,1,1.0,-2,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2018,12,11,0.5814,0.18,1,1.333,1,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,1,12,0.3106,0.11,4,2.0,2,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,2,13,0.481,0.1905,3,2.667,2,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,3,14,0.5256,0.22,1,2.667,0,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,4,15,0.4516,0.1905,6,3.333,2,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,5,16,0.3889,0.11,0,2.333,-3,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,6,17,0.5033,0.0,1,2.333,0,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,7,18,0.5318,0.07,1,0.667,-5,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,8,19,0.4365,-0.1905,4,2.0,4,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,9,20,0.4686,-0.22,3,2.667,2,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,10,21,0.3869,-0.1905,2,3.0,1,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,11,22,0.5311,-0.11,5,3.333,1,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2019,12,23,0.5755,0.18,3,3.333,0,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2020,1,24,0.4888,0.11,5,4.333,3,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2020,2,25,0.4906,0.1905,1,3.0,-4,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2020,3,26,0.3954,0.22,2,2.667,-1,0
CZ-001,santa_luzmila,-11.917396,-77.077762,14090,0.4721,0.2883,0.5713,0.387,0.5322,0.6286,0.1676,0.3034,0.6339,2020,4,27,0.4061,0.1905,3,2.0,-2,0
