model,seed,mae,rmse,r2,mape_pct
persistence_baseline,13,37.1875,44.946495970208844,0.1410867287031301,11.049657927869024
seasonal_naive_12m,13,143.8125,167.144211685598,-10.877917820231549,41.1380585939432
linear_regression,13,47.11209082177731,54.84837955520828,-0.27904326785409617,14.378172110169448
ridge_regression,13,43.11417048879905,50.711391804622785,-0.09337387832482058,13.03747605478348
random_forest,13,47.11387967934837,56.80008601799947,-0.3716888879821887,15.039256732442812
hist_gradient_boosting,13,56.14435109363829,68.56658288017374,-0.9988612378834021,17.877509079258964
persistence_baseline,21,37.1875,44.946495970208844,0.1410867287031301,11.049657927869024
seasonal_naive_12m,21,143.8125,167.144211685598,-10.877917820231549,41.1380585939432
linear_regression,21,47.11209082177731,54.84837955520828,-0.27904326785409617,14.378172110169448
ridge_regression,21,43.11417048879905,50.711391804622785,-0.09337387832482058,13.03747605478348
random_forest,21,46.47045130772008,55.86522713430429,-0.32690787420502687,14.78972630726344
hist_gradient_boosting,21,56.14435109363829,68.56658288017374,-0.9988612378834021,17.877509079258964
persistence_baseline,42,37.1875,44.946495970208844,0.1410867287031301,11.049657927869024
seasonal_naive_12m,42,143.8125,167.144211685598,-10.877917820231549,41.1380585939432
linear_regression,42,47.11209082177731,54.84837955520828,-0.27904326785409617,14.378172110169448
ridge_regression,42,43.11417048879905,50.711391804622785,-0.09337387832482058,13.03747605478348
random_forest,42,45.41948327644593,54.97730163721775,-0.28506316193188397,14.492375228779753
hist_gradient_boosting,42,56.14435109363829,68.56658288017374,-0.9988612378834021,17.877509079258964
persistence_baseline,87,37.1875,44.946495970208844,0.1410867287031301,11.049657927869024
seasonal_naive_12m,87,143.8125,167.144211685598,-10.877917820231549,41.1380585939432
linear_regression,87,47.11209082177731,54.84837955520828,-0.27904326785409617,14.378172110169448
ridge_regression,87,43.11417048879905,50.711391804622785,-0.09337387832482058,13.03747605478348
random_forest,87,46.51335964354252,56.52935784369435,-0.3586441954903179,14.90383540149911
hist_gradient_boosting,87,56.14435109363829,68.56658288017374,-0.9988612378834021,17.877509079258964
persistence_baseline,100,37.1875,44.946495970208844,0.1410867287031301,11.049657927869024
seasonal_naive_12m,100,143.8125,167.144211685598,-10.877917820231549,41.1380585939432
linear_regression,100,47.11209082177731,54.84837955520828,-0.27904326785409617,14.378172110169448
ridge_regression,100,43.11417048879905,50.711391804622785,-0.09337387832482058,13.03747605478348
random_forest,100,49.41864724615669,59.330556973049404,-0.49663013063440764,15.789267996911837
hist_gradient_boosting,100,56.14435109363829,68.56658288017374,-0.9988612378834021,17.877509079258964
